@@,item,itemlabel,startdate,enddate
---,Q539860,Apostolos Kaklamanis,1993-10-22,2004-02-11
+++,Q539860,Apostolos Kaklamanis,1996-10-08,2000-03-14
+++,Q539860,Apostolos Kaklamanis,2000-04-21,2004-07-18
->,Q3577025,Anna Benaki-Psarouda,2004-03-19->2004-07-18,2007-09-27->2007-08-18
->,Q704242,Filippos Petsalnikos->Philippos Petsalnikos,2009-10-15,2012-04-11
->,Q7943966,Viron Polydoras->Vyron Polydoras,2012-05-18,2012-05-19
->,Q12877513,Zoi Konstantopoulou,2015-02-06,2015-10-04->2015-08-21
+++,Q12877513,Zoi Konstantopoulou,2015-08-21,2015-10-04
->,Q20995518,Konstantinos Tassoulas->Konstantinos Tasoulas,2019-07-18,
