ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q1720202,Caretaker Cabinet of Panagiotis Pikrammenos,2012-05-17,11,,,2012-06-21,11,,,Q16331915,Ministerial Council of Greece,,,Q1720115,Coalition Cabinet of Lucas Papademos,Q1895837,Cabinet of Antonis Samaras,Q1720115,Coalition Cabinet of Lucas Papademos,Q1895837,Cabinet of Antonis Samaras
,Q1720202,Caretaker Cabinet of Panagiotis Pikrammenos,2012-05-17,11,,,2012-06-21,11,,,Q3112663,caretaker government,,,Q1720115,Coalition Cabinet of Lucas Papademos,Q1895837,Cabinet of Antonis Samaras,Q1720115,Coalition Cabinet of Lucas Papademos,Q1895837,Cabinet of Antonis Samaras
,Q1895837,Cabinet of Antonis Samaras,2012-06-20,11,2012-01-01,9,2015-01-26,11,,,Q16331915,Ministerial Council of Greece,,,Q1720202,Caretaker Cabinet of Panagiotis Pikrammenos,Q18912888,First Cabinet of Alexis Tsipras,Q1720202,Caretaker Cabinet of Panagiotis Pikrammenos,Q18912888,First Cabinet of Alexis Tsipras
,Q18912888,First Cabinet of Alexis Tsipras,2015-01-26,11,2015-01-27,11,2015-08-27,11,2015-08-27,11,Q16331915,Ministerial Council of Greece,,,Q1895837,Cabinet of Antonis Samaras,Q20882467,Caretaker cabinet of Vassiliki Thanou 2015,Q1895837,Cabinet of Antonis Samaras,Q20882467,Caretaker cabinet of Vassiliki Thanou 2015
,Q20882467,Caretaker cabinet of Vassiliki Thanou 2015,2015-08-27,11,2015-08-27,11,2015-09-21,11,2015-09-23,11,Q16331915,Ministerial Council of Greece,,,Q18912888,First Cabinet of Alexis Tsipras,Q21002078,Second Cabinet of Alexis Tsipras,Q18912888,First Cabinet of Alexis Tsipras,Q21002078,Second Cabinet of Alexis Tsipras
,Q21002078,Second Cabinet of Alexis Tsipras,2015-09-21,11,2015-09-23,11,2019-07-08,11,,,Q16331915,Ministerial Council of Greece,,,Q20882467,Caretaker cabinet of Vassiliki Thanou 2015,Q65184515,Cabinet of Kyriakos Mitsotakis,Q20882467,Caretaker cabinet of Vassiliki Thanou 2015,Q65184515,Cabinet of Kyriakos Mitsotakis
,Q65184515,Cabinet of Kyriakos Mitsotakis,2019-07-09,11,,,,,,,Q16331915,Ministerial Council of Greece,,,Q21002078,Second Cabinet of Alexis Tsipras,,,Q21002078,Second Cabinet of Alexis Tsipras,,
